disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh
1244,1998-09-11T00:00:00.000Z,"NY - SEVERE WX, SEPT 7, 1998",1998-09-07T00:00:00.000Z,1998-09-07T00:00:00.000Z,Major Disaster,NY,New York                      ,Severe Storm(s),1999-02-25T00:00:00.000Z,2005-07-15T00:00:00.000Z,2005-07-06T00:00:00.000Z,56263600d58922502c82f79c7e7dc1c5,2018-03-09T18:42:01.145Z
3133,1998-09-28T00:00:00.000Z,HURRICANE GEORGES,1998-09-28T00:00:00.000Z,1998-10-06T00:00:00.000Z,Emergency,AL,Alabama                       ,Hurricane,1998-09-29T00:00:00.000Z,2005-09-16T00:00:00.000Z,2005-07-12T00:00:00.000Z,2b514eea87e326595446d9127e2f8b68,2018-03-09T18:42:01.144Z
2252,1999-04-15T00:00:00.000Z,FL-FIRES 04/13/99,1999-04-13T00:00:00.000Z,,Fire Suppression,FL,Florida                       ,Fire,1999-04-29T00:00:00.000Z,2003-04-16T00:00:00.000Z,2002-07-25T00:00:00.000Z,e7eb1e7ab1153faf4518360803986d15,2018-03-09T18:42:01.149Z
1266,1999-01-23T00:00:00.000Z,AR SEVERE WEATHER 1-21-99,1999-01-21T00:00:00.000Z,1999-01-31T00:00:00.000Z,Major Disaster,AR,Arkansas                      ,Severe Storm(s),1999-01-23T00:00:00.000Z,2011-03-03T00:00:00.000Z,2011-03-01T00:00:00.000Z,6419cd78f6bcde3f1ee8edc074717a9b,2018-03-09T18:42:01.142Z
1255,1998-10-16T00:00:00.000Z,WA LANDSLIDE 3/6/98,1998-03-06T00:00:00.000Z,1998-11-19T00:00:00.000Z,Major Disaster,WA,Washington                    ,Mud/Landslide,1999-03-01T00:00:00.000Z,2003-10-16T00:00:00.000Z,2003-10-02T00:00:00.000Z,b153d48a9d89c85765f47db05abaecc4,2018-03-09T18:42:01.152Z
1247,1998-09-24T00:00:00.000Z,HURRICANE GEORGES - 18 SEP 98,1998-09-20T00:00:00.000Z,1998-10-27T00:00:00.000Z,Major Disaster,PR,Puerto Rico                   ,Hurricane,1999-02-25T00:00:00.000Z,2017-10-24T00:00:00.000Z,2017-10-23T00:00:00.000Z,47379609a39b5dd7c562e2bfaff1dfce,2018-03-09T18:42:01.145Z
1253,1998-10-14T00:00:00.000Z,"SEVERE STORMS, FLOODING AND TORNADOES",1998-10-04T00:00:00.000Z,1998-10-11T00:00:00.000Z,Major Disaster,MO,Missouri                      ,Severe Storm(s),1999-02-26T00:00:00.000Z,2006-04-26T00:00:00.000Z,2006-04-17T00:00:00.000Z,d0f51a3bd6fd48dc46019b6336a140c4,2018-03-09T18:42:01.144Z
1270,1999-04-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,1999-04-03T00:00:00.000Z,1999-04-14T00:00:00.000Z,Major Disaster,MO,Missouri                      ,Severe Storm(s),1999-04-14T00:00:00.000Z,2004-03-23T00:00:00.000Z,2004-02-24T00:00:00.000Z,7f5b34666c009cdc190f203ebdc11251,2018-03-09T18:42:01.148Z
2239,1998-09-04T00:00:00.000Z,BLANTON FIRE ,1998-09-04T00:00:00.000Z,1998-09-04T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-11-20T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,4ca1a970b0c7abf419d5c8909820a6a3,2018-03-09T18:42:01.147Z
3134,1999-01-08T00:00:00.000Z,IL-WINTER STORM  1/1/99,1999-01-01T00:00:00.000Z,1999-01-15T00:00:00.000Z,Emergency,IL,Illinois                      ,Snow,1999-01-11T00:00:00.000Z,2014-03-19T00:00:00.000Z,2014-03-12T00:00:00.000Z,5ab58efc57c006e479d5a926a3c192be,2018-03-09T18:42:01.151Z
3137,1999-01-27T00:00:00.000Z,MI - SEVERE WEATHER 1/2 /99,1999-01-02T00:00:00.000Z,1999-01-15T00:00:00.000Z,Emergency,MI,Michigan                      ,Snow,1999-01-26T00:00:00.000Z,2003-03-25T00:00:00.000Z,2003-03-14T00:00:00.000Z,328be42c11b35963eb55bcf97359929d,2018-03-09T18:42:01.150Z
1267,1999-02-09T00:00:00.000Z,CA-CITRUS CROP DAMAGE 2/2/99,1998-12-20T00:00:00.000Z,1998-12-28T00:00:00.000Z,Major Disaster,CA,California                    ,Freezing,1999-02-09T00:00:00.000Z,2011-03-23T00:00:00.000Z,2011-03-18T00:00:00.000Z,c86c43300a2abf4c86bdbd0047156d27,2018-03-09T18:42:01.154Z
2255,1999-04-17T00:00:00.000Z,FL-FIRES 04/13/99,1999-04-13T00:00:00.000Z,,Fire Suppression,FL,Florida                       ,Fire,1999-04-29T00:00:00.000Z,2003-04-16T00:00:00.000Z,2002-07-25T00:00:00.000Z,5778de0807fd4ea4e073e426c8c7efe1,2018-03-09T18:42:01.153Z
3131,1998-09-25T00:00:00.000Z,HURRICANE GRORGES,1998-09-25T00:00:00.000Z,1998-10-02T00:00:00.000Z,Emergency,FL,Florida                       ,Hurricane,1998-09-28T00:00:00.000Z,2009-06-02T00:00:00.000Z,2009-05-05T00:00:00.000Z,8525349850deb9a17f1253add6a4c750,2018-03-09T18:42:01.157Z
1256,1998-10-19T00:00:00.000Z,SEVERE STORMS AND FLOODING,1998-07-10T00:00:00.000Z,1998-07-31T00:00:00.000Z,Major Disaster,MO,Missouri                      ,Severe Storm(s),1998-08-11T00:00:00.000Z,2011-06-27T00:00:00.000Z,2005-07-22T00:00:00.000Z,eeca46ed1e8e86479604b3625ae4ac02,2018-03-09T18:42:01.156Z
1275,1999-05-12T00:00:00.000Z,"SEVERE STORMS, TORNADOES AND FLOODING",1999-05-05T00:00:00.000Z,1999-05-19T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Severe Storm(s),1999-05-12T00:00:00.000Z,2013-08-14T00:00:00.000Z,2010-08-24T00:00:00.000Z,7a410a3ab86315be00d140749be720cb,2018-03-09T18:42:01.160Z
2242,1998-09-04T00:00:00.000Z,WOOD BRANCH VILLAGE FIRE,1998-09-04T00:00:00.000Z,1998-09-05T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-11-20T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,966cbfb7ff3855d4cf3706924d8cc0b8,2018-03-09T18:42:01.159Z
2251,1999-04-15T00:00:00.000Z,OKEECHOBEE FIRE COMPLEX,1999-04-13T00:00:00.000Z,,Fire Suppression,FL,Florida                       ,Fire,1999-04-29T00:00:00.000Z,2007-06-21T00:00:00.000Z,2007-06-05T00:00:00.000Z,5d4db14317e758dd4e4b2abb97353d3b,2018-03-09T18:42:01.162Z
1258,1998-11-05T00:00:00.000Z,KS-FLOODING  10/31/98,1998-10-30T00:00:00.000Z,1998-11-15T00:00:00.000Z,Major Disaster,KS,Kansas                        ,Severe Storm(s),1999-03-02T00:00:00.000Z,2009-01-23T00:00:00.000Z,2008-12-29T00:00:00.000Z,56d2d2bbe7778278695bcd3ce6b45884,2018-03-09T18:42:01.143Z
2243,1998-09-05T00:00:00.000Z,FRAZIER CREEK FIRE  (LEFLORE),1998-09-05T00:00:00.000Z,1998-09-08T00:00:00.000Z,Fire Suppression,OK,Oklahoma                      ,Fire,1998-11-20T00:00:00.000Z,2003-02-28T00:00:00.000Z,2001-02-01T00:00:00.000Z,f3599ffa2722e39d194085f6a7fb3f6c,2018-03-09T18:42:01.146Z
1269,1999-04-09T00:00:00.000Z,"SEVERE STORMS, TORNADOES AND FLOODING",1999-04-03T00:00:00.000Z,1999-04-07T00:00:00.000Z,Major Disaster,LA,Louisiana                     ,Severe Storm(s),1999-04-09T00:00:00.000Z,2016-03-02T00:00:00.000Z,2016-02-24T00:00:00.000Z,3894cfd64dcf017833bcc545bb808325,2018-03-09T18:42:01.149Z
1271,1999-04-20T00:00:00.000Z,SEVERE STORMS AND TORNADOES,1999-04-15T00:00:00.000Z,1999-04-15T00:00:00.000Z,Major Disaster,GA,Georgia                       ,Severe Storm(s),1999-04-19T00:00:00.000Z,2006-06-22T00:00:00.000Z,2006-05-24T00:00:00.000Z,0969730aaf592fcd57b30d5eeafb8602,2018-03-09T18:42:01.152Z
3135,1999-01-15T00:00:00.000Z,IN-WINTER STORM 12/23/98,1999-01-01T00:00:00.000Z,1999-01-15T00:00:00.000Z,Emergency,IN,Indiana                       ,Snow,1999-01-19T00:00:00.000Z,2001-09-09T00:00:00.000Z,2001-02-01T00:00:00.000Z,ebca4b3d09ee3980498456aeb283e406,2018-03-09T18:42:01.155Z
2246,1998-09-09T00:00:00.000Z,MEXICO FIRE,1998-09-09T00:00:00.000Z,1998-09-10T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-11-20T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,18a77838de842c1f9ca02a42a30e8934,2018-03-09T18:42:01.158Z
