,disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate
449,1699,2777.0,9846774.22,8178988.91,1667785.31,,,,2019-09-03T00:00:00.000Z
450,1635,756.0,2611696.48,1480688.19,1131008.29,,,,2019-09-03T00:00:00.000Z
451,1724,2000.0,5101498.73,4314722.41,786776.32,,,,2019-09-03T00:00:00.000Z
452,1661,,,,,,,,
453,1595,21150.0,21564056.01,6644116.97,14919939.04,,,,2019-09-03T00:00:00.000Z
454,1686,313.0,1354036.12,906501.94,447534.18,,,,2019-09-03T00:00:00.000Z
455,1620,,,,,,,,
456,1711,2272.0,18925702.89,15020214.63,3905488.26,,,,2019-09-03T00:00:00.000Z
457,1646,,,,,,,,
458,1736,,,,,,,,
459,1600,,,,,,,,
460,1671,1012.0,5388213.23,4388471.79,999741.44,,,,2019-09-03T00:00:00.000Z
461,1625,,,,,,,,
462,1696,,,,,,,,
463,1651,5790.0,8830355.16,7477482.29,1352872.87,,,,2019-09-03T00:00:00.000Z
464,1721,,,,,,,,
465,1676,,,,,,,,
466,1591,,,,,,,,
467,1701,,,,,,,,
468,1726,58.0,432005.4,306633.18,125372.22,,,,2019-09-03T00:00:00.000Z
469,1596,,,,,,,,
470,1611,,,,,,,,
471,1616,,,,,,,,
472,1636,346.0,1230390.88,755400.93,474989.95,,,,2019-09-03T00:00:00.000Z
473,1642,8234.0,18613563.29,16757185.29,1856378.0,,,,2019-09-03T00:00:00.000Z
474,1662,4211.0,12105107.36,11102170.39,1002936.97,,,,2019-09-03T00:00:00.000Z
475,1667,,,,,,,,
476,1687,352.0,1669966.27,1176166.5,493799.77,,,,2019-09-03T00:00:00.000Z
477,1712,2130.0,10969558.71,9226623.3,1742935.41,,,,2019-09-03T00:00:00.000Z
478,1621,,,,,,,,
479,1647,,,,,,,,
480,1606,252022.0,618379758.99,523188508.49,95191250.5,,,,2019-09-03T00:00:00.000Z
481,1672,,,,,,,,
482,1697,643.0,4865458.46,4068758.21,796700.25,,,,2019-09-03T00:00:00.000Z
483,1631,441.0,1587654.75,964476.46,623178.29,,,,2019-09-03T00:00:00.000Z
484,1722,557.0,1658875.8,1436946.52,221929.28,,,,2019-09-03T00:00:00.000Z
485,1657,,,,,,,,
486,1682,,,,,,,,
487,1707,,,,,,,,
488,1732,2999.0,4922508.64,4122801.46,799707.18,,,,2019-09-03T00:00:00.000Z
489,1692,5215.0,12307474.22,11097850.83,1209623.39,,,,2019-09-03T00:00:00.000Z
490,1733,1059.0,6402583.39,5427021.71,975561.68,,,,2019-09-03T00:00:00.000Z
491,1717,3853.0,19808888.8,18218886.8,1590002.0,,,,2019-09-03T00:00:00.000Z
492,1626,,,,,,,,
493,1652,,,,,,,,
494,1677,,,,,,,,
495,1702,3415.0,6932866.4,6347786.57,585079.83,,,,2019-09-03T00:00:00.000Z
496,1727,,,,,,,,
497,1747,917.0,4800659.42,3951572.59,849086.83,,,,2019-09-03T00:00:00.000Z
498,1742,,,,,,,,
499,1737,,,,,,,,
500,1745,730.0,4069837.78,2771174.97,1298662.81,,,,2019-09-03T00:00:00.000Z
501,1767,,,,,,,,
502,1755,263.0,1261470.96,1093134.16,168336.8,,,,2019-09-03T00:00:00.000Z
503,1751,3200.0,11670465.18,10030933.28,1639531.9,,,,2019-09-03T00:00:00.000Z
504,1752,,,,,,,,
505,1757,,,,,,,,
506,1777,,,,,,,,
507,1782,,,,,,,,
508,1765,,,,,,,,
509,1741,,,,,,,,
510,1761,1002.0,2458564.0,1897324.21,561239.79,,,,2019-09-03T00:00:00.000Z
511,1766,10278.0,56449366.63,47181025.55,9268341.08,,,,2019-09-03T00:00:00.000Z
512,1740,1995.0,7674152.07,6753112.89,921039.18,,,,2019-09-03T00:00:00.000Z
513,1762,134.0,419744.26,172931.52,246812.74,,,,2019-09-03T00:00:00.000Z
514,1787,,,,,,,,
515,1746,210.0,1466605.44,1198433.35,268172.09,,,,2019-09-03T00:00:00.000Z
516,1792,12278.0,63878324.09,54137482.22,9740841.87,,,,2019-09-03T00:00:00.000Z
517,1817,2059.0,9506708.04,8474203.73,1032504.31,,,,2019-09-03T00:00:00.000Z
518,1842,1284.0,6501748.46,5943688.23,558060.23,,,,2019-09-03T00:00:00.000Z
